Respondent,Gender,Age,Country,EdLevel,DevType,YearsCode,YearsCodePro,Employment,ConvertedComp,JobSat,JobSeek,NEWLearn,OrgSize,WorkWeekHrs,JobFactors,exp_tier,JobSat_score
33459,Man,21.0,United States,Some college/university study without earning a degree,Data or business analyst,3,1.0,Employed full-time,1750000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,45.0,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development",0-2y,3.0
33460,Man,35.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",14,14.0,Employed full-time,86478.0,Slightly dissatisfied,I am actively looking for a job,Once a year,500 to 999 employees,40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,1.0
33461,Man,33.0,United States,Some college/university study without earning a degree,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics;Developer, mobile;Engineering manager",22,15.0,Employed full-time,135000.0,Slightly satisfied,I am not interested in new job opportunities,Once every few years,"1,000 to 4,999 employees",45.0,Industry that I’d be working in;Specific department or team I’d be working on;Opportunities for professional development,10-20y,3.0
33462,Man,26.0,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,3,,"Not employed, and not looking for work",,Not stated,Not stated,Once a year,Not stated,,Not stated,,
33463,Man,47.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications",34,10.0,Employed full-time,,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",5-10y,1.0
33464,Woman,28.0,Mexico,"Professional degree (JD, MD, etc.)","Developer, back-end;Developer, front-end;Developer, QA or test",14,4.0,Employed full-time,,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,40.0,Remote work options;Financial performance or funding status of the company or organization;Opportunities for professional development,2-5y,3.0
33465,Man,31.0,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",6,4.0,Employed full-time,7068.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,40.0,Remote work options;Financial performance or funding status of the company or organization;Office environment or company culture,2-5y,2.0
33467,Man,18.0,Spain,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,10,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once every few years,Not stated,,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",,
33468,Man,40.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",23,16.0,Employed full-time,138000.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,40.0,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,1.0
33469,Man,23.0,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,5,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once every few years,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",,
33470,Man,26.0,United States,Some college/university study without earning a degree,Not stated,5,,Student,,Not stated,I am actively looking for a job,Once a year,Not stated,,Industry that I’d be working in;Flex time or a flexible schedule;Opportunities for professional development,,
33471,Man,24.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, mobile",8,3.0,Employed full-time,65000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,3.0
33472,Man,20.0,Latvia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end",3,,Employed part-time,,Not stated,I am not interested in new job opportunities,Once a year,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,
33473,Man,43.0,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;System administrator",30,20.0,Employed full-time,33084.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,100 to 499 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",10-20y,3.0
33475,Woman,22.0,Tunisia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not stated,10,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development,,
33476,Man,46.0,United States,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",11,8.0,Employed full-time,96000.0,Very satisfied,I am not interested in new job opportunities,Once every few years,"10,000 or more employees",40.0,Specific department or team I’d be working on;Remote work options;Office environment or company culture,5-10y,4.0
33477,Man,50.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Product manager",30,25.0,Employed full-time,50124.0,Slightly dissatisfied,I am actively looking for a job,Once a year,"10,000 or more employees",40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Remote work options",20y+,1.0
33478,Man,40.0,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, back-end;Developer, desktop or enterprise applications",24,17.0,Employed full-time,64944.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,37.0,Flex time or a flexible schedule;Remote work options;Family friendliness,10-20y,3.0
33479,Man,33.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack;Developer, QA or test;DevOps specialist",16,10.0,Employed full-time,97288.0,Very dissatisfied,I am not interested in new job opportunities,Every few months,"10,000 or more employees",40.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,5-10y,0.0
33480,Man,21.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",5,1.0,Employed full-time,,Very satisfied,I am not interested in new job opportunities,Every few months,"5,000 to 9,999 employees",40.0,Not stated,0-2y,4.0
33481,Man,29.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",10,5.0,Employed full-time,36444.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,2-5y,3.0
33482,Man,19.0,Belgium,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,6,,Student,,Not stated,I am not interested in new job opportunities,Every few months,Not stated,,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,,
33483,Man,21.0,Egypt,Some college/university study without earning a degree,"Developer, back-end",1,,Employed full-time,,Not stated,I am actively looking for a job,Every few months,Not stated,,Flex time or a flexible schedule,,
33484,Woman,50.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",25,25.0,Employed full-time,,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,500 to 999 employees,40.0,Diversity of the company or organization;Remote work options;How widely used or impactful my work output would be,20y+,3.0
33485,Man,42.0,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10,6.0,Employed full-time,52390.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,10 to 19 employees,40.0,Opportunities for professional development;Family friendliness,5-10y,2.0
33486,Man,20.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Marketing or sales professional;Senior executive/VP;System administrator",4,4.0,"Independent contractor, freelancer, or self-employed",,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,Not stated,2-5y,
33487,Man,33.0,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, desktop or enterprise applications",10,,Employed full-time,,Not stated,Not stated,Once every few years,Not stated,,Not stated,,
33488,Man,22.0,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,5,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once every few years,Not stated,,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",,
